epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7304819822311401,0.0010000000474974513,0.5341956615447998,0.4951923191547394,0.6959218382835388
1,0.8906992673873901,0.0010000000474974513,0.2883712351322174,0.504807710647583,0.755004346370697
2,0.9246435761451721,0.0010000000474974513,0.20154863595962524,0.504807710647583,1.0227487087249756
3,0.9439918398857117,0.0010000000474974513,0.15224310755729675,0.504807710647583,1.1819838285446167
4,0.9636795520782471,0.0005000000237487257,0.11184626072645187,0.5432692170143127,1.0092618465423584
5,0.9674134254455566,0.0005000000237487257,0.1048675999045372,0.8509615659713745,0.35170111060142517
6,0.96877121925354,0.0005000000237487257,0.09149617701768875,0.9519230723381042,0.14005587995052338
7,0.9755600690841675,0.0005000000237487257,0.07564445585012436,0.9663461446762085,0.0765223577618599
8,0.979293942451477,0.0005000000237487257,0.06445534527301788,0.9663461446762085,0.08284533023834229
9,0.9833672642707825,0.0005000000237487257,0.05767463892698288,0.9711538553237915,0.07541611790657043
10,0.9881194829940796,0.0005000000237487257,0.04873165115714073,0.9711538553237915,0.06299082189798355
11,0.987101137638092,0.0005000000237487257,0.04227394238114357,0.9711538553237915,0.0714305192232132
12,0.9918533563613892,0.0005000000237487257,0.03550702705979347,0.9711538553237915,0.05681600049138069
13,0.9911744594573975,0.0005000000237487257,0.035389676690101624,0.9759615659713745,0.05819988250732422
14,0.9938900470733643,0.0005000000237487257,0.029267337173223495,0.9759615659713745,0.06650878489017487
15,0.9945688843727112,0.0005000000237487257,0.02799547277390957,0.9759615659713745,0.060280028730630875
16,0.9945688843727112,0.0002500000118743628,0.024211732670664787,0.9711538553237915,0.07558432221412659
17,0.9979633688926697,0.0002500000118743628,0.017486896365880966,0.9759615659713745,0.07249028980731964
18,0.9996605515480042,0.0002500000118743628,0.013855942524969578,0.9759615659713745,0.06522664427757263
19,0.9993211030960083,0.0001250000059371814,0.012455374002456665,0.9759615659713745,0.058649830520153046
20,0.9993211030960083,0.0001250000059371814,0.011549754999577999,0.9759615659713745,0.058835241943597794
